crop,temperature,rainfall,sunshine_hours,ph,organic_carbon,cec,awc,bulk_density,rooting_depth_m,texture,texture_code,suitability,suitability_class,scenario_id
Brinjal,28.816073505352463,2627.1249261221924,7.866258624830957,4.669331569987596,3.6768291752018056,18.51104202921949,0.0415488983051246,1.3309361984661845,0.6965501645955419,silt loam,5,0.745,Unsuitable,-2089808138905852659
Brinjal,31.690453975957432,2472.574797895691,7.852973792877893,4.7484724158325,4.897936996021953,10.516206850178946,0.0402466670468776,1.1812682290158285,1.3649978442910244,loamy sand,2,0.719,Unsuitable,-514959426624896512
Brinjal,26.791394274080307,2723.8327222882217,8.955219117081713,4.587656236312228,2.6077755228685966,16.734730653050402,0.0100851167724765,1.2649455417858693,0.6348781655538143,sand,1,0.718,Unsuitable,208079802469352047
Brinjal,30.35337434114489,2794.935396010179,8.84307868113375,4.89532898458276,4.238583990833711,19.41908044310821,0.0382064155967169,1.2820033046607628,0.3465159291140277,silt loam,5,0.705,Unsuitable,8035249729868220518
Brinjal,28.44307215233524,2810.349528783472,7.031230758698989,4.731118152888096,3.078127834492715,10.51852398952654,0.0423071268967789,1.4374529467927335,1.197846384520922,clay loam,6,0.731,Unsuitable,4082596508108412244
Brinjal,27.888653618663632,2656.392304823085,8.436549115912294,5.317447897677111,4.635901002961203,10.641439882308624,0.0404017654109284,1.1733972383143556,0.6292999541868523,silt loam,5,0.71,Unsuitable,-9066182738874202686
Brinjal,23.521193729427257,2513.8093257487526,6.483286468147318,5.357578387252612,3.0416677589195387,13.93939930355724,0.0424401907620713,1.1341193892515464,0.906054975868548,sand,1,0.704,Unsuitable,-1829656399108276994
Brinjal,30.168963051537432,2479.516797772958,6.82220546403781,5.100833264311597,3.430557336172873,18.85372371621457,0.02421507145911,1.4167602300885045,0.7801220129417309,clay,7,0.731,Unsuitable,-298058803800480896
Brinjal,26.500625291535187,2616.610327126726,8.911136636347727,5.577181081371251,3.744854036730665,13.289335525611213,0.0147904740888395,1.4540386362216142,0.7208829663024858,clay loam,6,0.752,Suitable,591835222460055761
Brinjal,23.83184366196417,2523.570476526134,8.7299299391049,5.109768579037579,4.228484715499792,7.811089616631678,0.0173581104291359,1.2098310315839873,0.6022530081893097,loam,4,0.732,Unsuitable,-1297907733449007954
Brinjal,30.642277611238235,2886.832383892499,8.27843091837003,5.0986933877572405,2.4321657959758487,9.144041600944334,0.0426613660183453,1.3639056530175857,0.9584663335109768,loamy sand,2,0.792,Suitable,6402261679389691922
Brinjal,31.099017139841244,2769.525691404994,6.485741113879948,5.168911597895547,3.3876470489773083,15.13504181438817,0.0115873619903576,1.1773097245213062,1.3797249248464354,loamy sand,2,0.783,Suitable,3696152898050392127
Brinjal,24.11630129593072,2602.1432800667358,6.645928635668473,4.800270329576003,4.559409243483192,13.292704795614124,0.0411251380576567,1.4460684972755922,1.3834220963269113,silt loam,5,0.708,Unsuitable,8161592866980751747
Brinjal,26.415396688559333,2836.9183143623195,8.85734834320858,4.865400418590907,4.492492130132735,15.11403436074014,0.0154568827727121,1.1216502223073308,0.5496975089995775,clay,7,0.676,Unsuitable,-7869429316848050300
Brinjal,23.94458154834614,2324.735367290272,6.963649421945165,4.700732614401834,3.915999013291679,14.179125605093764,0.0113156834430788,1.3753116571950947,0.3882384277660171,loamy sand,2,0.727,Unsuitable,-1408275563485894000
